Nº TyV;Año;Perf;S;W;W_01;N_01
3153;2010;P2;-60,645773;-32,939128;27;9
3153;2010;P3;-60,645724;-32,939173;26,1;8
3161;2010;P1;-60,673139;-32,948513;22,7;10
3161;2010;P2;-60,673217;-32,948417;24,2;5
3161;2010;P3;-60,673318;-32,948509;23,5;9
3161;2010;P4;-60,673449;-32,948412;37,8;14
3170;2010;P2;-60,657613;-32,944861;23,6;
3170;2010;P3;-60,65757;-32,944968;26,5;
3170;2010;P4;-60,657534;-32,94494;;
3170;2010;P5;-60,657526;-32,944976;;
3174;2010;P3;-60,669598;-32,948781;29,9;7
3185;2011;P2;-60,642333;-32,936905;25;4
3189;2011;P1;-60,663534;-32,950057;39;8
3189;2011;P2;-60,663691;-32,949981;27,6;9
3189;2011;P3;-60,663828;-32,950011;27,8;7
3189;2011;P4;-60,663781;-32,950102;27,7;4
3194;2011;P1;-60,636587;-32,943289;23;6
3194;2011;P3;-60,636614;-32,943395;19,8;10
3217;2011;P1;-60,662753;-32,939481;26,7;2
3217;2011;P3;-60,66267;-32,939156;20,4;10
3224;2011;P1;-60,634248;-32,94891;;
3224;2011;P2;-60,634166;-32,949011;;
3224;2011;P3;-60,634052;-32,948947;;
3236;2012;P1;-60,633637;-32,948914;;
3236;2012;P2;-60,6336;-32,948812;;
3236;2012;P3;-60,633594;-32,948737;;
3249;2012;P1;-60,662025;-32,943948;27,8;12
3249;2012;P2;-60,662101;-32,943847;24,6;5
3249;2012;P4;-60,662464;-32,943839;28;3
3253;2012;P1;-60,652764;-32,949084;27,8;5
3253;2012;P2;-60,652652;-32,948973;26,8;9
3253;2012;P3;-60,652719;-32,948868;27,2;4
3253;2012;P4;-60,652636;-32,948761;29,8;2
3262;2012;P2;-60,65239;-32,945382;25,1;8
3262;2012;P3;-60,652481;-32,945314;25,5;7
3263;2012;P1;-60,675967;-32,943041;28,2;7
3263;2012;P2;-60,676057;-32,942931;25,5;7
3263;2012;P3;-60,676193;-32,942992;29,3;6
3271;2013;P1;-60,654394;-32,943619;26,8;5
3271;2013;P3;-60,654378;-32,943894;20,7;
3271;2013;P4;-60,654417;-32,94387;;
3271;2013;P5;-60,654529;-32,943912;;
3272;2013;P1;-60,652975;-32,939995;22,7;
3272;2013;P2;-60,653004;-32,939844;22,4;
3272;2013;P3;-60,65291;-32,939747;28,5;
3301;2013;P1;-60,629965;-32,952019;14,2;
3301;2013;P2;-60,62988;-32,952127;18,2;
3301;2013;P3;-60,630016;-32,952217;28,9;
3306;2013;P2;-60,665325;-32,945002;25,7;7
3306;2013;P3;-60,66512;-32,944944;29,6;6
3306;2013;P4;-60,665303;-32,944967;31,7;
3317;2013;P1;-60,649128;-32,932433;27,3;
3317;2013;P2;-60,649333;-32,932508;17,6;
3317;2013;P3;-60,649188;-32,932606;22,4;
3322;2013;P1;-60,654669;-32,944488;6;
3322;2013;P2;-60,654587;-32,944441;22,5;
3322;2013;P3;-60,654635;-32,944367;22,8;
3323;2013;P1;-60,654243;-32,94365;28,5;6
3323;2013;P2;-60,654163;-32,943741;25,6;7
3323;2013;P3;-60,654305;-32,943798;21,5;12
3327;2014;P2;-60,636508;-32,955389;22,2;18
3327;2014;P3;-60,636558;-32,955195;26,2;5
3327;2014;P4;-60,636783;-32,955286;26,7;8
3348;2014;P1;-60,63805;-32,939778;27,7;10
3348;2014;P2;-60,638363;-32,93981;23;6
3348;2014;P3;-60,638091;-32,939886;26,8;6
3348;2014;P5;-60,638115;-32,94001;27,5;6
3352;2014;P1;-60,638151;-32,93846;16,9;
3352;2014;P2;-60,638387;-32,93853;19,1;
3352;2014;P3;-60,637786;-32,938694;20,3;
3352;2014;P4;-60,638073;-32,938719;23,2;
3352;2014;P5;-60,638384;-32,938732;;
3352;2014;P6;-60,63794;-32,938838;24,3;7
3364;2014;P1;-60,653716;-32,942105;10,9;12
3364;2014;P2;-60,653624;-32,942039;26,1;4
3382;2015;P1;-60,64624;-32,95687;21,7;6
3382;2015;P2;-60,64633;-32,95678;21,8;8
3393;2015;P1;-60,64174;-32,94370;21,7;1
3393;2015;P2;-60,64156;-32,94359;27,7;3
3393;2015;P3;-60,64166;-32,94346;19,5;8
3405;2015;P1;-60,65045;-32,93831;22;
3405;2015;P2;-60,65035;-32,93819;15,5;
3405;2015;P3;-60,65032;-32,93831;18,5;
3412;2016;P2;-60,66061;-32,93802;23,2;10
3412;2016;P3;-60,66069;-32,93796;22,5;9
3413;2016;P1;-60,64638;-32,95555;15;10
3413;2016;P2;-60,64648;-32,95548;28,3;6
3413;2016;P3;-60,64659;-32,95552;22,1;6
3417;2016;P1;-60,65443;-32,94393;24;8
3417;2016;P2;-60,65451;-32,94383;30,9;5
3417;2016;P3;-60,65465;-32,94389;24;12
3422;2016;P1;-60,64969;-32,95091;22,4;9
3422;2016;P2;-60,64974;-32,95081;25,1;8
3444;2017;P1;-60,64143;-32,94455;26,2;6
3444;2017;P2;-60,64138;-32,94464;26,8;10
3444;2017;P3;-60,64148;-32,94476;28,9;7
3448;2017;P1;-60,66468;-32,94181;14,7;8
3448;2017;P2;-60,66469;-32,94203;28,7;6
3474;2017;P1;-60,64474;-32,94415;;
3474;2017;P2;-60,64461;-32,94424;;
3474;2017;P3;-60,64446;-32,94419;;
3475;2017;P1;-60,65500;-32,94060;33,5;15
3475;2017;P2;-60,65513;-32,94066;27,3;4
3475;2017;P3;-60,65518;-32,94057;27,3;6
3480;2018;P1;-60,64622;-32,94426;25;17
3480;2018;P2;-60,64605;-32,94425;25,5;14
3480;2018;P3;-60,64592;-32,94432;17,5;11
3483;2018;P2;-60,64633;-32,94273;26,5;10
3483;2018;P3;-60,64647;-32,94286;21,4;12
3484;2018;P1;-60,65627;-32,94923;13,6;8
3484;2018;P2;-60,65646;-32,94913;29,7;
3484;2018;P3;-60,65666;-32,94918;23,3;
3494;2018;P1;-60,64459;-32,93561;22,5;8
3494;2018;P2;-60,64455;-32,93570;22,7;17
3520;2019;P1;-60,64302;-32,93594;25,1;5
3520;2019;P2;-60,64292;-32,93602;30,9;9
3520;2019;P3;-60,64304;-32,93602;27,1;5
3520;2019;P4;-60,64294;-32,93612;25,5;6
3522;2019;P1;-60,65587;-32,95088;28,9;13
3522;2019;P2;-60,65592;-32,95077;21,9;12
3522;2019;P3;-60,65581;-32,95072;21,3;6
3523;2019;P1;-60,65063;-32,94482;19,6;11
3523;2019;P2;-60,65043;-32,94479;22,1;7
3523;2019;P3;-60,65026;-32,94487;22,2;14
3529;2019;P1;-60,63061;-32,95215;22,2;21
3529;2019;P3;-60,63014;-32,95230;25,9;4
3535;2019;P1;-60,63916;-32,95623;30,1;12
3535;2019;P3;-60,63925;-32,95626;28,3;8
3562;2020;P1;-60,64029;-32,94865;27,9;
3562;2020;P2;-60,64050;-32,94861;28;
3562;2020;P3;-60,64051;-32,94866;27,1;
3562;2020;P4;-60,64030;-32,94870;27,5;
3563;2020;P6;-60,64588;-32,94055;26,5;
3563;2020;P7;-60,64588;-32,94068;23;
3566;2020;P1;-60,66048;-32,94640;26;11
3566;2020;P3;-60,66048;-32,94661;23,7;
3568;2020;P1;-60,64144;-32,95332;;
3568;2020;P2;-60,64154;-32,95325;;
3568;2020;P3;-60,64164;-32,95327;;
3569;2020;P1;-60,66186;-32,94621;28;9
3569;2020;P2;-60,66174;-32,94636;25,6;9
3569;2020;P3;-60,66191;-32,94643;27,2;11
3569;2020;P4;-60,66178;-32,94656;28,1;7
3569;2020;P6;-60,66182;-32,94681;27;4
3569;2020;P7;-60,66205;-32,94679;26,8;5
3569;2020;P8;-60,66221;-32,94670;23;4
3569;2020;P9;-60,66246;-32,94669;24,2;5
3583;2020;P1;-60,64633;-32,95469;20,3;16
3583;2020;P2;-60,64652;-32,95436;22,4;6